,Id,News_Headlines,Viral_Anticipated_News
0,0,"No new coronavirus case in 85 districts in 14 days; cases in India cross 28,000",0
1,1,Discussed extending lockdown post May 3 in the state: Meghalaya CM after PM meet,0
2,2,"58 active coronavirus cases in Gautam Buddha Nagar, green zones rise to 14",0
3,3,"PM said spike in COVID-19 cases could happen in June, July: Chhattisgarh Minister",0
4,4,Appeal to all to support Rajasthan's migrant workers returning home: CM,0
5,5,"No. of containment zones down from 1,036 to 805 in Mumbai",1
6,6,"Migrant workers are homesick, Centre must arrange for them to go home: Sena",2
7,7,Details of procurement of COVID-19 equipment must be made public: Cong,2
8,8,People from Haryana working in Delhi are 'corona-carriers': Haryana Minister,2
9,9,Lakhs and lakhs can't be quarantined by govt: WB CM Mamata allows home quarantine,2
10,10,Punjab policemen wear badge with name of Harjeet whose hand was chopped off in attack,2
11,11,"1 cured of COVID-19 discharged, total cases now 3: Puducherry Minister",2
12,12,PM announces COVID warriors website to connect people with local authorities,2
13,13,"Endangered Ganges River Dolphins spotted in Uttar Pradesh, video surfaces",2
14,14,"FB user says 'PM-backed firm' selling COVID-19 kits for ₹4,500, govt says fake news",3
15,15,60 Indian doctors dance to song 'Happy' amid coronavirus pandemic; video viral,3
16,16,Every 7th doctor in US is Indian and they're working as soldiers: AAPI Prez,3
17,17,Won't lose a single rupee: Govt clarifies after cancelling Chinese rapid test kits,3
18,18,KGMU becomes 1st govt hospital to launch plasma therapy for COVID-19,4
19,19,UP CM's 'Agra Model' will turn city into Wuhan: Akhilesh on Mayor's letter,4
20,20,"5 Northeast states coronavirus-free, no new cases in other 3: Jitendra Singh",4
21,21,Tamil Nadu builds walls at Andhra border to block movement of vehicles,4
22,22,ICMR asks states to stop using COVID-19 rapid test kits from 2 Chinese companies,4
23,23,Imposing COVID cess on ultra-rich may make up for revenue loss: Kumaraswamy,5
24,24,Have to give importance to economy along with fight against COVID-19: PM Modi,5
25,25,"Sonia writes to PM, suggests 5 steps to help MSMEs amid COVID-19 crisis",5
26,26,40% tax for those earning ₹1 cr to revive post COVID-19 economy: IRS officers,6
27,27,India to fast-track Chinese investment approvals after FDI changes: Report,6
28,28,10 lakh IT staff expected to work from home post lockdown: Infosys Co-founder,6
29,29,Millions may be pushed into poverty if lockdown isn't lifted soon: Ex-RBI Guv,6
30,30,Delhi's peak power demand falls up to 49% amid lockdown: Report,6
31,31,Singapore coastline packed with oil tankers amid slump in oil consumption,6
32,32,Made-in-India coronavirus vaccine could be ready in a year: Biocon MD,6
33,33,CBDT never asked IRS officers for suggestions on COVID-19 situation: I-T Dept,8
34,34,"CBI takes custody of DHFL's Kapil, Dheeraj Wadhawan from Satara",8
35,35,"RBI announces ₹50,000 crore special liquidity facility for mutual funds",9
36,36,"Tata Power, JSW Steel among companies seeking loan moratorium",9
37,37,UK economy may take until 2023 to fully recover from COVID-19: EY ITEM Club,9
38,38,"Tata Steel looking to get ₹4,718 cr bailout from UK government",9
39,39,India should convert world’s hatred for China into economic opportunity: Gadkari ,11
